Config,Project,Model,Temp,Tier,Item,Status,Sim,Conflict
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,student,Accepted,0.0,
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,parent/guardian,Accepted,0.2744,student
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,teacher,Accepted,0.6601,student
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school principal,Accepted,0.7068,teacher
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district it manager,Accepted,0.593,school principal
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district procurement officer,Accepted,0.6382,school district it manager
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district legal counsel,Accepted,0.5699,school district procurement officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district compliance officer,Accepted,0.7241,school district procurement officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district risk management officer,Accepted,0.7537,school district compliance officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district data protection officer,Accepted,0.7915,school district compliance officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district data governance board member,Accepted,0.7448,school district data protection officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district policy maker,Accepted,0.67,school district risk management officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district financial officer,Accepted,0.73,school district compliance officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district technology support staff,Accepted,0.6617,school district it manager
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district community liaison,Accepted,0.6768,school district policy maker
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district student services coordinator,Accepted,0.7689,school district community liaison
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district special education coordinator,Accepted,0.7684,school district student services coordinator
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district student union representative,Accepted,0.6675,school district community liaison
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district parent association representative,Rejected,0.8032,school district student union representative
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,school district board member,Accepted,0.7982,school district data governance board member
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,state department of education official,Accepted,0.5974,school district compliance officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,federal department of education official,Rejected,0.9117,state department of education official
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,national data protection authority official,Accepted,0.6472,school district data protection officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,institutional ai ethics review board member,Accepted,0.3628,school district board member
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,machine learning engineer,Accepted,0.3115,school district it manager
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,data scientist,Accepted,0.6079,machine learning engineer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,ai system vendor representative,Accepted,0.4628,institutional ai ethics review board member
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,privacy advocate,Accepted,0.4377,national data protection authority official
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,students in special education programs,Accepted,0.7068,school district special education coordinator
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,students from low socioeconomic status,Accepted,0.5683,students in special education programs
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,students from minority ethnic backgrounds,Accepted,0.7223,students from low socioeconomic status
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,students with learning difficulties,Accepted,0.5936,students in special education programs
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,students with behavioral challenges,Accepted,0.7281,students with learning difficulties
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,students with mental health conditions,Accepted,0.6322,students with learning difficulties
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,at-risk students (predicted to drop out),Accepted,0.5142,students from low socioeconomic status
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,non-native english speaking students,Accepted,0.5454,students with learning difficulties
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,students with privacy concerns (sensitive data),Accepted,0.5641,school district data protection officer
4_role_Clusters,AI-powered student assessment,gpt-oss-20b,0.3,0,students with disabilities,Accepted,0.7715,students with learning difficulties
4_role_Clusters,AI-powered student assessment,gpt-oss-120b,0.7,1,school principal,Rejected,1.0,school principal
4_role_Clusters,AI-powered student assessment,gpt-oss-120b,0.7,1,classroom teacher,Rejected,0.9059,teacher
